Question,Target_response_bella,Bella_w4,Target_response_mia,Mia_w3,Target_response_mike,Mike_w1,Target_response_olivia,Olivia_w2
- Скільки вам років?,25,Мені 25 років.,25,Мені 25 років .,32,Мені 32 роки. Як щодо вас?,42,Мені 42 роки.
- В якому місті ви народились?,місто Львів,Я народилася в місті Сокаль.,Львів,Я народилася у Львові.,місті Долина Івано-Франківської області.,Я народився у місті Дрогобич. А ви де народилися?,Вільногірськ,"Я народилась у Вільногірську, Україна."
– Де ви виросли?,місто Сокаль,Я виросла в місті Сокаль.,Сокаль,Я виросла в місті Сокаль .,"Загалом я виріс у місті Долина Івано-Франківської області на квартирі. В дитинстві, особливо влітку, я часто їздив в гості до бабусі та дідуся як з маминої, так і з татаової сторони. Вони проживали в селі. Мамині батьки - у селі Станківці Долинського району, а татові - у селі Нижня Луковиця Стрийського району.З маминої сторони моя бабуся з дідом завжди забороняли мені все: не міг я піти на річку чи в клуб на дискотеку. Навпаки, з тата батьки бабусі з дідом підтримували і дозволяли мені ходити на річку та на дискотеку. Тому я завжди любив відвідувати татаових батьків, де мені дозволяли робити те, що хотів.",Я виріс у Дрогобичі. А де саме виросли ви?,"м. Вільногірськ, с. Адамівка","Я виросла у Вільногірську, Україна."
- У якому місті ви мешкаєте?,місто Львів,Я мешкаю у місті Львів.,Львів,Я проживаю у місті Львів.,Львів,Я зараз живу у місті Львів. А ви де проживаєте?,Вільногірськ,"Я зараз мешкаю у Вільногірську, Україна."
- Скільки у вас братів та сестер? Як їх звати?,"У мене є сестра близнючка, її звати Соломія","У мене є двійнята сестра, її звуть Мія .","Одна сестра, звати Анастасія",У мене є одна сестра на ім'я Белла. Ми близнючки.,В мене одна старша сестра. Звати її Марія я відношусь до неї з повагою. ,"У мене немає братів чи сестер, я єдиний дитина у сім'ї. А в вашій родині як?","одна сестра рідна Світлана, та 5 двоюрідних сестер та 1 двоюрідний брат",Я не знаю точної інформації про своїх братів і сестер.
- Обидва ваші батьки живі та живуть разом (не розлучені)?,Так,"Так, обоє моїх батьків живі та живуть разом .",Так,"Так, мої батьки живі і живуть разом, вони не розлучені.",Так,"Так, обидва мої батьки живі і вони не розлучені. А як у вас?",Так,Про моїх батьків інформації немає.
- Де ви живете,"Сама, в окремому житлі","Я живу сама, в окремій квартирі у Львові  .","Сама, в окремому житлі",Я живу у Львові.,"Сама, в окремому житлі",Я зараз живу у місті Львів.,Разом із батьками,"Я зараз мешкаю у Вільногірську, Україна."
- Які мови ви знаєте?,"Українська, російська, вивчаю англійську мову","Я знаю українську, російську і вивчаю англійську .","Українська, Польську, вивчаю Англійську","Я знаю українську мову, польську і вивчаю англійську .",вивчаю англійську в дуолінго протягом року,Я знаю українську та японську мови. Також розмовляю англійською. А які мови ви знаєте?,"Російська, Японська, Англійська","Я знаю українську, японську та англійську мови."
- Яким є ваш сімейний статус?,незаміжня,Я неодружена.,незаміжня,Мій сімейний статус — я неодружена.,незаміжня,"Я не одружений. А ви, у вас є сім'я?",незаміжня,Я не впевнена щодо свого сімейного статусу.
"Який вищий навчальний заклад ви відвідували чи відвідуєте? (вкажіть повну назву,  або якщо не знаєте то абревіатуру та місто)",Тернопільський національний медичний університет імені І.Я. Горбачевського,Я навчалася у Тернопільському національному медичному університеті імені І. Я. Горбачевського .,Тернопільський національний медичний університет імені І.Я.Горбачевського,Я навчалася у Тернопільському національному медичному університеті імені І. Я. Горбачевського.,Навчально-науковий юридичний інститут Прикарпатського національного університету імені Василя Стефаника,Я закінчив Львівський Національний Університет імені Івана Франка. А де ви навчалися?,"Харківський Інститут Управління, м. Харків","Харківський Інститут Управління, м. Харків"
Яку спеціалізацію ви обрали під час навчання?,Лікар дерматовенеролог,Моя спеціалізація під час навчання була дерматовенерологія .,Лікар косметолог-дерматовенеролог,"Під час навчання я обрала спеціалізацію ""лікар косметолог і дерматовенеролог"".",Правознавство,Я спеціалізувався у галузі права. А яка ваша спеціалізація чи сфера діяльності?,фінанси,фінанси
Які предмети чи курси вам особливо подобалися?,"Біологія, анатомія, хірургія","Мені подобалися такі предмети як біологія, анатомія та хірургія .","Дерматологія, анатомія, косметологія","Мені особливо подобалися такі предмети як дерматологія, анатомія та косметологія.","Я був любимчиком серед викладачів, оскільки мені завжди подобалося вчитися. Особливий інтерес я виявляв до вивчення цивільного процесу, кримінального процесу та адміністративного процесу.",Мені найбільше подобалися курси кримінального права та процесу. Це дуже цікаво і корисно для моєї роботи. А які предмети подобаються вам?,маркетинг та економіка,"Щодо моїх улюблених предметів чи курсів, я не маю конкретної інформації."
Які навички ви набули під час навчання?,Практичних і теоретичних медичних навичок,Під час навчання я набула як практичні так і теоретичні медичні навички .,Практичні і теоретичні,Під час навчання здобула практичні та теоретичні медичні навички.,"Під час навчання я здобув низку цінних навичок. Мої знання в області права дозволяють мені розуміти, як воно функціонує та які нюанси можуть виникати у практиці. Я вмію ефективно проводити дослідження і знаю, де знаходити необхідні правові аспекти, які цікавлять мене. Крім того, я володію навичками аналізу, співставлення і узагальнення інформації, що дозволяє мені робити обґрунтовані висновки",Мені вдалося розвинути аналітичні навички та уміння працювати з різноманітними людьми. Це згодом стало в нагоді в моїй роботі детектива. А ви набули якихось особливих навичок під час навчання?," це було давно, але зрозуміла, що теорія відрізняється від практики!","Схоже, інформації про навички, які я набула під час навчання, немає."
Як ви застосовуєте отримані знання та навички у повсякденному житті?,Лікую людей,"Я застосовую знання та навички, отримані під час навчання, у своїй повсякденній роботі, лікуючи пацієнтів і консультуючи їх з питань дерматології  .","Лікую пацієнтів, проводжу консультації","Я застосовую отримані знання та навички у щоденній роботі, проводячи консультації та лікування пацієнтів. Завдяки теоретичним та практичним навичкам, вдосконаленим під час навчання, можу ефективно діагностувати та лікувати дерматологічні і косметологічні проблеми.","У повсякденному житті ці навички мають велике значення, оскільки вони дозволяють розуміти процес створення законів і момент їхнього набуття юридичної сили.","Мої знання та навички дуже важливі для моєї роботи. Аналітичні навички дозволяють мені ефективно розслідувати злочини, а уміння спілкуватися і розуміти людей допомагають у роботі зі свідками і підозрюваними. Щодня використовую ці навички, щоб забезпечити справедливість. А ви як застосовуєте свої знання?",більше застосовую з життя ніж з навчання,"Як технічний інженер в енергетичній галузі, я використовую свої знання та навички для розв’язання технічних задач та покращення енергетичної інфраструктури щодня."
Які додаткові програми навчання (курси) ви пройшли?,"Наразі ніякі, але планую пройти курси по дерматоскопії і трихології","Наразі я не пройшла жодних додаткових курсів навчання, але планую взяти курси з дерматоскопії та трихології .","Багато курсів по косметології, дерматології",Я пройшла багато курсів у сфері косметології та дерматології .,"У шкільні роки я успішно пройшов курси оператора комп'ютерного набору, а в університетські роки активно займався вивченням права, проходячи різні курси з цієї області.","Я не можу згадати конкретні програми додаткового навчання, які б я проходив. Можливо, ви б хотіли знати щось інше?",вивчала програму 1С 8 у Днвпропетровському університеті імені Нобеля,"Мені невідомо про якісь додаткові курси або програми навчання, які я проходила."
Які плани у вас на здобуття додаткової освіти?,Немає,Наразі у мене немає планів на здобуття додаткової освіти. Я планую розвиватися у сфері дерматовенерології .,Найближчим часом не планую. ,Наразі я не маю планів на здобуття додаткової освіти у близькому майбутньому.,я хотів би здобути освіту в сфері фінансів,Наразі я не маю конкретних планів щодо отримання додаткової освіти. Я фокусуюсь на своєму професійному розвитку й роботі. А у вас є плани на навчання?,завжди не проти дізнатись щось нове!,завжди не проти дізнатись щось нове!
Як освіта впливає на ваше життя та кар'єру?,Позитивно планую надалі розвиватися в цій сфері,"Освіта справила великий вплив на моє життя та кар'єру. Вона дала мені необхідні знання та практичні навички, щоб стати кваліфікованим фахівцем у своїй галузі і, звичайно, допомагає у повсякденному житті, особливо у лікуванні пацієнтів.","Позитивно. Постійно розвиваюся, вдосконалюю свої знання і вміння","Освіта вплинула на моє життя та кар'єру позитивно. Завдяки постійному розвитку та вдосконаленню знань і навичок, я змогла успішно працювати дерматологом-косметологом та досягти певних професійних висот .","Я вважаю, що моя освіта була чудовою, завдяки відмінним викладачам, які мене навчали.","Освіта мала великий вплив на мою кар’єру, надавши необхідні знання для роботи в поліції та сприяючи розвитку критичного мислення. Це дало змогу мені досягти успіху у моїй професії та надає мені впевненості у прийнятті рішень на роботі. А як освіта вплинула на ваше життя?",Маю більший вибір у вакансіях та у заробітній платні!,"Освіта значно впливає на моє життя та кар'єру, оскільки вона дає знання та навички, необхідні для роботи технічним інженером в енергетичній галузі."
Ваш робочий досвід та поточний статус,Не працюю й не працювала раніше,"Я зараз стажер-лікар за спеціальністю дерматовенерологія, і у мене один рік робочого досвіду в цій галузі. Я не працювала в інших компаніях раніше, і у мене немає іншого робочого досвіду. Мої плани на майбутнє в професії - відкрити власний приватний кабінет.",Працюю зараз,"Під час навчання в Тернопільському національному медичному університеті я здобула практичні та теоретичні навички в медицині, зокрема в галузі дерматовенерології. Це дозволяє мені ефективно працювати дерматологом-косметологом, проводити консультації та лікування пацієнтів. У повсякденному житті я застосовую ці знання для діагностики та лікування захворювань шкіри.",Працюю зараз,"Мій робочий досвід пов'язаний з поліцією та кримінальним розслідуванням. Наразі я працюю детективом. Моя робота включає в себе розслідування складних справ, роботу з свідками та підозрюваними. Мій досвід розвивається кожного дня завдяки викликам, з якими я стикаюся.",Працюю зараз,Я маю досвід роботи в якості технічного інженера в енергетичній галузі. Наразі працюю за спеціальністю.
В якій компанії працюєте?,,Наразі я не працюю. Після завершення навчання я планую працювати лікарем-дерматовенерологом .,В приватній клініці «Леодерм»,"Я працюю в приватній клініці ""Леодерм"" на посаді косметолога-дерматовенеролога.",ТОВ Енергетична компанія,"Я працюю в поліції, як детектив. Це моя основна робота і я пишаюся тим, що допомагаю підтримувати правопорядок і безпеку у нашому суспільстві.",Енергетична компанія Ясно,Енергетична компанія Ясно
- Яка у вас професія?,Зараз я лікар-інтерн за спеціальністю «дерматовенерологія»,Я професійно займаюся дерматовенерологією. Зараз я стажер-лікар у цій спеціалізації.,Косметолог-дерматовенеролог ,Моя професія — косметолог-дерматовенеролог.,Юрист,Я працюю детективом.,я працюю з людьми,Я технічний інженер в енергетичній галузі.
- Яку посаду ви обіймаєте?,Лікар-інтерн,Я наразі стажер-лікар за спеціалізацією дерматовенерологія і не працюю в жодній компанії .,Косметолог,Я обіймаю посаду косметолога-дерматовенеролога.,Юрист,Я обіймаю посаду детектива у поліції.,технік,Я обіймаю посаду технічного інженера в енергетичній галузі.
- Скільки років ви працюєте у своїй галузі?,1 рік,Я працюю у своїй галузі вже один рік як стажер-лікар з дерматовенерології .,1 рік,Я працюю косметологом-дерматовенерологом вже 1 рік.,5 років 6 місяців,Я працюю детективом уже декілька років. Ця робота вимагає постійного навчання та адаптації.,саме на цій посаді працюю  7 місяців,саме на цій посаді працюю  7 місяців
- Які здобутки ви отримали у своїй кар'єрі?,Отримала більше знань та навичок,"У своїй кар'єрі я отримала багато знань та навичок у медичній галузі. Це був час активного навчання та розвитку у сфері дерматовенерології, і зараз я прагну відкрити власний приватний кабінет.","Здобула досвіду з апаратними процедурами, отримала позитивні відгуки від пацієнтів.",У моїй кар'єрі я здобула досвід з апаратних процедур і отримала позитивні відгуки від пацієнтів .,"Коли я працював у слідстві, мені вдалося отримати багато відзнак та подяк за мою службу. Зараз я працюю юристом і маю добрі стосунки з керівництвом компанії, де мене цінують","В рамках моєї кар'єри, я досяг успіху у різних розслідуваннях, що принесли позитивні результати та зміцнили мою репутацію як компетентного детектива. Кожне вирішене розслідування, кожен затриманий злочинець для мене є важливим здобутком.","на данній посаді недавно, тому рано про це розповідати!","на данній посаді працюю досить недавно, тому рано про це розповідати!"
"- Які проекти, у яких ви брали участь, нещодавно завершили?",-,"Я ще не брала участь у завершених проектах, оскільки зараз я зосереджена на стажуванні та навчанні у своїй галузі .",,Нещодавно я не завершувала жодних нових проектів.,"Я виграв судову справу, де вірогідності перемоги не було, але я дійшов до останньої інстанції в суді, де виграв","На жаль, я не можу згадати конкретні недавні проекти. Зазвичай я працюю над розслідуваннями злочинів та іншими завданнями, які входять у мої обов'язки детектива.",ще не було жодних проектів,Я ще не брала участь в ніяких проектах
- Які складності ви найчастіше відчуваєте у своїй роботі?,Іноді не хвистачає часу на відпочинок,"Іноді в роботі може бракувати часу, щоб належно відпочити.",,"Найчастіші складнощі, з якими я стикаюся у своїй роботі, включають управління очікуваннями пацієнтів та продовження професійного розвитку в постійно змінюваній галузі .","Я люблю генерувати ідеї і я люблю розглядати ситуації з різних точок зору. Я можу уявляти ситуації та розглядати їх позитивні та негативні аспекти. Однак виникають складнощі, коли мої ідеї відхиляються без попередження. Це робить мене розчарованим, оскільки я витрачаю час і зусилля на їх розробку та аналіз.","Складнощі, з якими я часто зустрічаюся в роботі, це пошук достовірної інформації та збір доказів. Це може бути досить складно, особливо з огляду на те, що багато злочинів скоєно хитромудро. Також емоційна сторона роботи може бути важкою, коли ми маємо справу з тяжкими та чутливими випадками.","спілкування з людьми, коли їх дуже багато","У своїй роботі я стикаюся з технічними труднощами та складними задачами, які потребують аналізу та вирішення."
- Які плани у вас на майбутнє у своїй професії?,Хочу відкрити свій приватний кабінет,У моїх планах на майбутнє - відкрити приватний медичний кабінет та подальший розвиток у сфері дерматовенерології.,"Постійний розвиток, відвідування багато курсів, навчань по інʼєкційній косметології","Мої плани на майбутнє включають постійний розвиток та вдосконалення в професії, участь у багатьох курсах та тренінгах, особливо в галузі ін'єкційної косметології. Також прагну досконало опанувати англійську мову для можливості навчання за кордоном.",Хочу отримати адвокатське посвідчення і зайнятися адвокатською діяльністю,"Я планую продовжити роботу детектива та використовувати мій досвід, щоб допомагати у боротьбі зі злочинністю. Мені хочеться й надалі розвивати свої професійні навички та знання, щоб ставати ще кращим у своїй справі.",планую змінити професію,В майбтньому я планую змінити свою професію
Чи працювали до цього десь ще?,Не працювала,"Я ще не працювала в інших місцях, окрім свого нинішнього стажування як лікар-дерматовенеролог .","ні, це моя перша робота","Ні, раніше я не працювала ніде, це моя перша робота .",так,"На жаль, я не можу згадати роботи, які мав до цього. Моя поточна робота детектива дуже важлива для мене. Може бути, вас цікавить щось конкретне стосовно моєї роботи?",так,"Так я працювала в Райффайзен Банк Аваль на посадах діловод, ведучій економіст, головний економіст.
Також в компанія інтерпайп, Вільногірський Склянний Альянс,
і також в дитячій музичній школі бухгалтером"
"На яких посадах та в яких компаніях ви працювали? (будь ласка вкажіть відповідь у форматі ""Компанія 1 - Посада Х"", ""Компанія 2 - Посада Н"")",-,"Я не працювала в інших компаніях раніше, тому в мене немає попереднього досвіду роботи, крім стажування зараз .",-,"Моя нинішня робота - це перша робота, досі я не працювала в інших компаніях .","Crédit Agricole - менеджер
Сільпо - менеджер
ГУНП в Івано-Франківській обл. - Слідчий СУ
Управлінська компанія Зразкове місто - юрист
Енергетична компанія - юрист","На жаль, я не можу згадати конкретні компанії та посади, на яких я раніше працював, окрім того, що зараз я працюю детективом.","1 Райффайзен Банк Аваль- посада- діловод, ведучій економіст, головний економіст.
2 Компанія інтерпайп- посада- економіст
3 Вільногірський Склянний Альянс - посада- інженер
4 Дитяча музикальна школа- посада - бухгалтер
5 4 роки у Польщі- компанія LG","Раніше я працювала в Райффайзен Банк Аваль на посадах діловод, ведучій економіст, головний економіст.
Також в компанія інтерпайп, Вільногірський Склянний Альянс,
і також в дитячій музичній школі бухгалтером"
- Що вам найбільше подобалось у попередніх компаніях?,-,,-,,"З кожного моєї роботи я здобував цінні навички та розуміння процесів у різних сферах. У Crédit Agricole я отримав навички ефективної комунікації з клієнтами та розуміння внутрішніх процесів банківської сфери. Робота в Сільпо дала мені уявлення про організацію роботи з товарами, особливо тих, що швидко псуються, а також процеси виставлення товарів на полиці, що можна вимагати на кожен товар книгу в якій має бути вказано придатність товару,, я навчився визначати терміни придатності товарів, що значно спрощує роботу. Працюючи слідчим, я отримав можливість побачити внутрішню роботу поліції та навчитися ефективно спілкуватися з її працівниками. На управлінській компанії я отримав розуміння процесів нарахування оплати за квартири мешканцям, а також вивчив необхідні документи для взаємодії з комунальними підприємствами","Я не можу згадати специфіку попередніх місць роботи, але загалом, у сфері кримінального розслідування мені завжди подобається можливість допомагати людям та вирішувати складні проблеми. I enjoy teamwork and facing new challenges regularly.","Організація роботи, робочих місць, можливості розвитку та навчання","Мені подобалась рганізація роботи, робочих місць, можливості розвитку та навчання"
- Які плани у вас на майбутнє у своїй професії?,"Хочу надалі розвиватися у своїй сфері, дізнаватися і вивчати щось нове і відкрити свою приватну клініку","В майбутньому я хочу розвиватися у своїй сфері, вивчати нові речі та відкрити власну приватну клініку .","Удосконалювати свої знання і вміння, вільно володіти англійською мовою для того щоб відвідувати навчання закордоном.","Мої плани на майбутнє включають постійний розвиток та вдосконалення в професії, участь у багатьох курсах та тренінгах, особливо в галузі ін'єкційної косметології. Також прагну досконало опанувати англійську мову для можливості навчання за кордоном.",,Я планую продовжувати роботу детектива і старатися стати ще більш кваліфікованим у цій сфері. Мене також цікавить використання нових технологій в розслідуваннях.,,
