Question,Target_response_bella,Bella_w4,Target_response_mia,Mia_w3,Target_response_mike,Mike_w1,Target_response_olivia,Olivia_w2
- Які методи стрес-управління ви використовуєте?,Ніякі не використовую,"Я зазвичай намагаюся вимикати негатив, розслаблююсь з друзями чи родиною, слухаю музику, подорожую, чи займаюсь роздумами. Важливо зберігати внутрішній спокій.",Не використовую,"Я не використовую спеціальних методів управління стресом. Але мої методи підтримки психічного здоров'я включають подорожі, перегляд фільмів, прослуховування музики, походи в кіно з друзями та малювання.","Методи, які використовую це фізична рухливість, допомога іншим, позитивне мислення і гарно висипатися","Для управління стресом я використовую фізичні вправи, медитацію. Також я намагаюся забезпечити хороший баланс між роботою і особистим життям.",дихальні вправи,Я виконую дихальні вправи
– Як ви підтримуєте своє психічне здоров'я?,"Стараюся відпочивати, подорожувати,","Ви праві, пробачте за замішання. Щодо психічного здоров'я, я дотримуюсь регулярного режиму відпочинку та подорожей, як способу відновити енергію і знайти внутрішній спокій.","Подорожую, дивлюся фільми, слухаю музику, ходжу з друзями в кіно, малюю.","Для підтримки свого психічного здоров'я я подорожую, переглядаю фільми, слухаю музику, ходжу в кіно з друзями та малюю.",читанням книг та вивчення англійсьеої мови,"Я підтримую своє психічне здоров'я, читаючи книги і вивчаючи англійську мову .",відволікаюсь,Зазвичай я просто віволікаюсь
Ви релігійні?,Так,"Так, я віруюча. Моя віра - Греко-Католицька Церква, і релігія відіграє важливу роль у моєму житті.",Так,"Так, я релігійна людина, належу до Греко-Католицької Церкви. Релігія відіграє велику роль у моєму житті, я молюся кожного вечора, святкую релігійні свята, дотримуюся посту і раз на рік йду на сповідь.",Так,Я не дуже релігійна людина. Моя віра не є центральною частиною мого життя.,Так,Так
- Якому віросповіданню ви належите?,Моя віра греко-католик,Я належу до Греко-Католицької Церкви.,Греко-католик,Я належу до Греко-Католицької Церкви.,"я належу як до Православних так і до Католиків, оскільки тато православний, а мама католик",Я належу до Української Греко-Католицької Церкви.,християнство,Я належу до християнства.
- Яку роль релігія відіграє у вашому житті?,Важливу роль,"Релігія відіграє значущу роль у моєму житті, я є віруючою та належу до Греко-Католицької Церкви. Я вважаю, що моя віра допомагає мені у повсякденному житті і надає мені внутрішнього спокою.","Релігія допомагає жити. Віра допомагає жити. Віра в добро, мораль, справедливість, рівність. Саме завдяки вірі люди живуть в гармонії із собою і світом. Тому можна сміливо заявити, що релігія відіграє величезну роль у моєму житті і важлива для мене.","Релігія допомагає мені жити. Віра допомагає жити. Віра в доброту, моральність, справедливість, рівність. Саме завдяки вірі люди живуть у гармонії із собою та світом. Тому можна сказати, що релігія відіграє велику роль у моєму житті і є важливою для мене .",Я вірю в Бога,"Релігія грає важливу роль у моєму житті. Я вірую в Бога і дотримуюсь релігійних обрядів, також роблю пожертви на допомогу українській армії .",важливу,Релігія відіграє важливу роль у моєму житті
- У яких релігійних обрядах та заходах ви берете участь?,Ходжу до церкви,"Я беру участь у церковних службах, відвідую церкву, молюся, сповідаюся, дотримуюся посту і відзначаю різні релігійні свята, як-то Різдво та Великдень.",Ходжу до церкви,"Я беру участь у релігійних обрядах, таких як відвідування церкви, щорічна сповідь, дотримання посту та святкування релігійних свят   .",Відвідую храм,"Я відвідую церкву на свята, дотримуюсь пісних періодів і стараюсь жити за християнськими принципами.",не беру участь,не беру участь
- Які духовні практики ви здійснюєте?,"Іду до церкви, молюсь, сповідаюсь, дотримуюсь днів посту, святкую різні релігійні свята такі як Різдво та Великдень.","Я відвідую церковні служби, молюся, дотримуюсь постів і святкую релігійні свята, наприклад Різдво та Пасху.","Молюся кожного вечора, святкую релігійні свята, дотримуюся посту, сповідаюсь 1 раз на рік.","Я щовечора молюся, святкую релігійні свята, дотримуюся посту та раз на рік іду на сповідь.",Молитва,"Я молюся щодня, стараюсь жити за християнськими принципами і проводжу час на саморефлексію, щоб зрозуміти, як мої дії відповідають моїм цінностям.",ніякі,ніякі
- Як ви застосовуєте свої релігійні переконання у повсякденному житті?,- Як ви застосовуєте свої релігійні переконання у повсякденному житті?,"Мої релігійні переконання відіграють істотну роль у моєму повсякденному житті. Я відвідую церковні служби, молюся, дотримуюся постів та святкую релігійні свята, як-то Різдво та Великдень. Це допомагає мені зберегти моральний компас і вірність засадним цінностям.",Живу відповідно до Божих заповідей.,Я намагаюся жити за Божими заповідями у своєму повсякденному житті .,"Я завжди заступаюся за слабших і намагаюся допомагати їм, якщо стаю свідком несправедливості. Я вірю, що таким чином я виконую волю Бога, допомагаючи цим людям отримати справедливість і підтримку, яку вони потребують.Раніше я часто брав участь в боях у клітці.Тому щоб підготовити своє тіло до бійки мені достатньо 5 секунд, щоб я став скаженим.Коли я бачив, що чоловік б'є жінку, або дитину на вулиці, я не вагався і втручався, захищаючи потерпілих і використовуючи фізичну силу проти кривдника.","Мої релігійні переконання впливають на мою поведінку та рішення. Я стараюсь бути чесним та справедливим у відносинах з іншими, проявляти співчуття і допомагати потребуючим.",намагаюсь жии за 10 заповідями,намагаюсь жии за 10 заповідями
- Яка ваша улюблена їжа?,"Суші, піца, мочі, морепродукти, кавун, диня, черешні, нектаринки, мандаринки, апельсин, манго, авокадо, чізкейк, круасан з мигдалем, банани","Моя улюблена їжа - це суші, піца, морепродукти, кавун, диня, черешня, нектарини, мандарини, апельсини, манго, авокадо, чізкейк, мигдалевий круасан, банани.","Морепродукти, фрукти, овочі, піца, суші","Моя улюблена їжа — це морепродукти, фрукти, овочі, піца та суші .",моя улюбена їжа деруни зі сметаною,"Я обожнюю вареники з картоплею та сметаною. Ніщо так не може зігріти, як добре українське блюдо. А яка ваша улюблена їжа?","гарбузовий суп, яйя у любому вигляді, овочі, риба","гарбузовий суп, яйя у любому вигляді, овочі, риба"
- Яким напоям ви віддаєте перевагу?,"Вода, сік, пепсі","Мені подобається пити воду, сік, часом Пепсі .","Вода, кава, різновиди китайського чаю, шампанське, різні алкогольні коктелі","Вода, кава, різновиди китайського чаю, шампанське, різні алкогольні коктелі",я люблю соки,Мені подобаються соки. Хороший стакан свіжовичавленого соку завжди покращує настрій. А вам?,"кава, чай",Мої улюблені напої - кава та чай.
- Які марки одягу вам подобаються?,"Українські бренди (Cooch, Cici Coco, Papaya, Mocko) а також Zara, Massimo Dutti, H&M, Oysho, Mango, Coach, Fendi, Louis Vuitton, Prada, Chanel, Saint Laurent, Burberry, Hermes ","Мені подобаються українські бренди одягу, такі як Cooch, Cici Coco, Papaya, Mocko, а також більш відомі міжнародні бренди, як Zara, Massimo Dutti, H&M, Oysho, Mango, Coach, Fendi, Louis Vuitton, Prada, Chanel, Saint Laurent, Burberry, Hermes.","Українські бренди, Zara, H&M, Massimo Dutti, Cos, Chanel, Dior, Prada","Мені подобаються українські бренди, Zara, H&M, Massimo Dutti, Cos, Chanel, Dior, Prada .","H&M, Puma, Nike","Мені подобаються бренди H&M, Puma, Nike. Ці бренди зазвичай пропонують якісний і комфортний одяг.","купую тільки те що мені доступно по коштах, Sinsay, LC Waikiki, Mohito","Мені подобаються ті марки одягу, які я можу собі дозволити: Sinsay, LC Waikiki, Mohito."
- Який спосіб життя ви ведете?,"Здоровий, активний","Я веду активний та здоровий спосіб життя. Регулярно займаюся спортом, ходжу в тренажерний зал, слідкую за збалансованим харчуванням і регулярно перевіряю своє здоров’я у лікарів. Також я люблю проводити час із сім’єю та друзями, відвідуючи культурні заходи.",Активний,Я веду активний спосіб життя.,"Активний спосіб життя і він мені допомагає підтримувати фізичне й психічне здоров'я, підвищує енергію та настрій","Я веду активний спосіб життя, який допомагає мені підтримувати фізичне і психічне здоров'я, підвищувати енергію та настрій .",активний,"Я веду активний спосіб життя. Я стежу за своєю дієтою, займаюся fly-йогою, бігаю на свіжому повітрі та відвідую басейн."
– Які види технологій вас цікавлять?,Ніякі,"Я не особливо цікавлюся певними технологіями. Я більше зосереджена на своїй професії та використовую технології, що допомагають у моїй щоденній роботі, такі як медичне обладнання чи комп'ютерні програми для ведення документації.",Апаратна косметологія,Цікавлюсь технологіями апаратної косметології .,Мене цікавлять технологічні новинки,"Мене цікавлять технологічні інновації. Живемо у світі, де кожен день з'являється щось нове, тому важливо бути в курсі останніх розробок.",все що стосується кіно та фото,"Мене цікавлять технології, що пов'язані з кіно і фотографією."
- Які кольори та дизайни вам подобаються?,"Білий, бежевий, коричневий, чорний, червоний ","Мені подобаються прості та елегантні дизайни. Щодо кольорів, я віддаю перевагу білому, бежевому, коричневому, чорному та червоному .","Кольори: Бежевий, Білий, Червоний, Чорний, Сірий","Мені подобаються такі кольори: бежевий, білий, червоний, чорний, сірий.",Мені подобається зелений колір. Дизайн найбільше подобається класичний,"Мені подобається зелений колір. Щодо дизайну, то класичний - мій фаворит .","мінімалізм, злений колір, чорий, білий, бузковий","Мені подобаються мінімалізм, бірюзовий, чорний, білий та ліловий кольори."
- Якій музиці ви віддаєте перевагу на вечірках?,"Джаз, диско, шансон, класична музика","На вечірках я люблю слухати джаз, диско, шансон, класичну музику.",Люблю різну музику,"На вечірках я віддаю перевагу різним стилям музики, включаючи класику, джаз, техно, диско та шансон.","я люблю рок, а на одинці люблю слухати класичну музику","На вечірках я віддаю перевагу рок-музиці, але коли я сам, то слухаю класичну музику .",всю під яку можна танцювати,"Я віддаю перевагу музиці, під яку можна танцювати."
- Яку музику (стилі) ви любите слухати?,"Диско, шансон, класична, реп, джаз","Я люблю слухати диско, шансон, класичну музику, реп і джаз .","Люблю різну музику. Класика, джаз, техно,  диско, шансон","Я люблю слухати різну музику, включаючи класику, джаз, техно, диско та шансон.",я люблю слухати рок і класичну музику,Мені подобається слухати рок та класичну музику .,я люблю всю музику від класики до року,Я люблю слухати музику всіх стилів — від класичної до рок-музики.
- Назвіть 3-5 улюблених виконавців,"Cheev, Тіна Кароль, Imagine Dragons, Скрябін","Мої улюблені виконавці - це Cheev, Тіна Кароль, Imagine Dragons, Скрябін .","Imagine Dragons, Тіна Кароль, Френк Сінатра, Beyoncé ","Мої улюблені виконавці: Imagine Dragons, Тіна Кароль, Френк Сінатра, Бейонсе.","Queen, Linkin Park,AC/DC, Моцарт, Шопен","Мої улюблені виконавці – це Queen, Linkin Park, AC/DC, Mozart та Chopin . А хто у вас улюблені?","a-ha, Алла Пугачева, Kola, Океан Ельзи","Мої улюблені виконавці - це a-ha, Алла Пугачова, Kola та Океан Ельзи."
- Яким типам фільмів і серіалів ви віддаєте перевагу?,"Романтичні, комедія, мелодрама, детектив, фантастика","Я віддаю перевагу романтичним фільмам, комедіям, мелодрамам, детективам та фентезі .","Комедія, драма, фантастика, жахи, до зустрічі з тобою","Я віддаю перевагу комедіям, драмам, фентезі і жахам.","Детективам, трилерам",Я віддаю перевагу детективам та трилерам .,"детективи, та на реальних подіях, біографічні","Я віддаю перевагу детективам, фільмам на основі реальних подій та біографічним фільмам."
- Назвіть 3-5 улюблених фільмів,"Хатіко, Зелена книга, Люблю тебе ненавидіти, Оппенгеймер ","Мої улюблені фільми - це ""Хатіко"", ""Зелена книга"", ""Ненависть як любов"" та ""Оппенгеймер"" .","Зелена книга, бджоляр, оппенгеймер","Мої улюблені фільми: ""Зелена книга"", ""Бджоляр"", ""Оппенгеймер"".","Шерлок Хломс, Люди в чорному, Погані хлопці","Мої улюблені фільми – це ""Шерлок Холмс"", ""Люди в чорному"", ""Погані хлопці"" .","Леон, Вбивство у східному еспресі, штучний разум, Мерлин Монро","Мої улюблені фільми – це ""Леон"", ""Вбивство у Східному експресі"", ""Штучний інтелект"" та ""Мерилін Монро""."
- Назвіть 3-5 улюблених серіалів,"Голодні ігри, Мій коханий демон, Сутінки, Тисячу і одна ніч","Мої улюблені серіали - ""Голодні ігри"", ""Мій коханий демон"", ""Сутінки"", ""Тисяча і одна ніч"" .","Тисяча і одна ніч, Чорна любов, Сутінки, Гра престолів, Голодні Ігри","Мої улюблені серіали: ""Тисяча і одна ніч"", ""Чорне кохання"", ""Сутінки"", ""Гра престолів"", ""Голодні ігри"" .","Шерлок Холмс, CSI: Нью-Йорк, CSI: Маямі","Мої улюблені серіали – ""Шерлок Холмс"", ""CSI: Нью-Йорк"", ""CSI: Маямі"" .","друзі, секс у місті","Мої улюблені серіали - це ""Друзі"" та ""Секс і місто""."
- Які книги ви читаете?,Книги по дерматовенерології,Я читаю книги з дерматовенерології .,Медичні,Читаю здебільшого медичні книги.,"люблю читати детективи, історичні, наукові, саморозвиток","Я люблю читати детективні історії, історичну, наукову літературу, а також книги про саморозвиток .","різні, романи, психологічні","Я читаю різноманітні книги, зокрема романи та психологічну літературу."
- Назвіть 3-5 улюблених авторів чи назв книг,Немає улюблених,Я не маю улюблених авторів чи книг . Я читаю книги з дерматовенерології .,,У мене немає улюблених авторів чи назв книг.,"Агата Крісті, Артур Конан Дойл, Робін Шарма,Дейл Карнегі","Мої улюблені автори та книги – це Агата Крісті, Артур Конан Дойль, Робін Шарма, Дейл Карнегі .",майстер та маргарита,"Мої улюблені автори чи книги – це ""Майстер і Маргарита""."
– Які види спорту вас цікавлять?,"Пілатес, фітнес, плавання","Мене цікавлять пілатес, фітнес та плавання .","Танці, фітнес, йога, пілатес, теніс","Мене цікавлять танці, фітнес, йога, пілатес і теніс .",Плавання,"Мені подобається плавання . Спорт для мене є хобі, і я також зацікавлений у вивченні англійської .",активні,Мене цікавлять активні види спорту .
– Які хобі у вас є?,"Перегляд фільмів, обробка фотографій, його,  фітнес, танці","Мої хобі - дивитися фільми, редагування фотографій, я займаюсь йогою, фітнесом та танцями .","Танці, музика, малювання, спорт, перегляд фільмів, серіалів","Мої хобі включають танці, музику, малювання, спорт, перегляд фільмів та серіалів.","Спорт, вивчення англійської",Мої хобі – це спорт і вивчення англійської. Я також люблю читати книги.,малюю,Мої хобі – це малювання.
- Як ви проводите вільний час?,"Люблю гуляти, зустрічатися з друзями, ходити в спортзал, кінотеатр, театр, переглядати фільми ","Я люблю гуляти, зустрічатися з друзями, ходити в тренажерний зал, кіно, театр, дивитися фільми .","Проводжу час з друзями, рідними, слухаю музику, ходжу на спорт, дивлюся фільми, подорожую","Я зазвичай проводжу вільний час з друзями та родиною, слухаючи музику, займаюся спортом, дивлюся фільми або подорожую .",за читанням книг,"Я вільний час проводжу, читаючи книги  .","по різному, в залежності втомлена я чи ні","Я різнобічна у проведенні вільного часу, воно залежить від моєї втоми: можу малювати, займатися fly-йогою, бігати на свіжому повітрі, відвідувати басейн, або просто читати книгу чи дивитися кіно  ."
- Які мистецтва чи ремесла вам цікаві?,"Малювання, музика, танці","Мене цікавлять малювання, музика та танці.","Музика, малювання, танці","Мене цікавлять музика, живопис, танці .",Фотографування і обробленя фотографій,Захоплююся фотографією і редагуванням фото .,"живопис, фото",Мені цікаві живопис та фотографія .
- Які види розваг вам подобаються?,"Подорожі, спорт, відпочинок вдома","Мені подобаються різні види розваг: подорожі, спорт і відпочинок вдома .","Кінотеатр, парк розваг, фестивалі, концерти","Мені подобаються такі розваги, як кіно, парк розваг, фестивалі та концерти.","Відпочинок на свіжому повітрі в горах, спорт","Мені подобаються активні розваги на природі, у горах, займатися спортом  .",спорт,"Мені подобаються розваги, пов'язані зі спортом."
- У які ігри ви граєте (самостійно чи з друзями)?,Настільні,Я граю у настільні ігри .,Настільні,Я зазвичай граю в настільні ігри з друзями.,шахмати,"Я граю в шахи, як самостійно, так і з друзями .",не граю,"Я не граю в ігри ні самостійно, ні з друзями."
- Які нові інтереси ви хочете спробувати?,Стрибок з парашутом,Мені хочеться спробувати парашутний спорт .,"Екстремальний спорт, стрибок з парашутом","Я хочу спробувати екстремальні види спорту, такі як стрибки з парашутом .",хочу навчитися плавати,Я хочу навчитися плаванню .,сноубординг,Я хочу спробувати новий інтерес — сноубординг.
- Які країни ви вже завітали?,"Норвегія, Франція, Відень, Прага, Польща, Туреччина, Венеція","Я вже відвідала Норвегію, Францію, Відень, Прагу, Польщу, Туреччину, Венецію .","Лондон, Франція, Італія, Туреччина, Венеція, Прага, Польща, Норвегія","Я вже відвідала Лондон, Францію, Італію, Туреччину, Венецію, Прагу, Польщу і Норвегію.","Польща, Чехія",Мені вдалося відвідати Польщу та Чехію .,"Польща, Грманія, Чехія, Румунія","Я вже завітала до таких країн як Польща, Німеччина, Чехія та Румунія."
- Які культури вас особливо зацікавили?,"Культура Франції, Норвегії і Відня","Мені особливо цікава культура Франції, Норвегії та Відня .","Лондон, Франція, Італія","Мене найбільше зацікавили культури Лондона, Франції та Італії .","Японська культура привертає мою увагу з багатьох причин, а саме через вражаючу історію Японії як могутньої держави, яка колись завойовувала інші країни. Японські воїни славилися своєю мужністю, хоробрістю та вірністю, а їхні битви та стратегії залишили незабутні сліди в історії. Ця велична історія вплинула на багато аспектів японської культури, від воєнного мистецтва та філософії до мистецтва, літератури та релігії. Вивчення японської культури дає мені можливість поглибитися в цю багату та захоплюючу історію і розуміти коріння багатьох її традицій та цінностей.","Японська культура привертає мою увагу з багатьох причин, зокрема завдяки видатній історії Японії як потужної держави, яка колись завойовувала інші країни. Знамениті японські воїни були відомі своєю сміливістю, відвагою та вірністю, а їх битви та стратегії залишили незгладимий слід в історії. Ця велика історія вплинула на багато аспектів японської культури, від бойових мистецтв та філософії до мистецтва, літератури та релігії. Вивчення японської культури дає мені можливість заглибитися у цю багату та захоплюючу історію та зрозуміти корені багатьох її традицій та цінностей .",все нове мне зажди приваблює,"Мене приваблюють нові культури, адже все нове завжди виглядає привабливим для мене."
- Які визначні пам'ятки ви мрієте побачити?,"Статуя Свободи, Біг-Бен, гора Фудзі Японія, велика китайська стіна","Я мрію побачити Статую Свободи, Біг Бен, гору Фуджі в Японії та Велику китайську стіну .","Статуя Свободи, полярне сяйво, велика китайська стіна, Колізей, ","Я мрію побачити такі визначні пам'ятки: статую Свободи, північне сяйво, Велику Китайську стіну та Колізей .",водоспад Вікторія,Я мрію побачити Вікторію Фолс.,Лувр у Парижі,Я мрію побачити Лувр у Парижі.
"- Які види подорожей вам подобаються: пригодницькі, пляжні, культурні тощо?","Найбільше люблю культурні, пляжні і пригодницькі подорожі з неймовірними пейзажами","Мені найбільше подобаються культурні, пляжні та пригодницькі подорожі з неймовірними краєвидами .","Пляжні, пригодницькі, мандри водним транспортом, культурний туризм, лижний туризм, круїз","Мені подобаються пляжні, пригодницькі, культурні подорожі, водні тури, гірськолижні тури та круїзи .",набйльше мені подабаються пригодницькі подорожі,Найбільше мене приваблюють пригодницькі подорожі.,пригодницькі з платками з переїздами,Мені подобаються пригодницькі подорожі з пересадками.
- Які країни чи міста ви рекомендуєте відвідувати?,"Україну місто Львів, Норвегію, Францію, Відень","Я рекомендую відвідати Львів, Україну, Норвегію, Францію та Відень .",Лондон,"Я рекомендую відвідати Лондон, Францію, Італію, Туреччину, Венецію, Прагу, Польщу, Норвегію .","Львів, Харків, Київ","Я рекомендую відвідати Львів, Харків, Київ . Це міста з багатою історією та культурою .",Дрезден мне скорив,"Я рекомендую відвідати Дрезден, оскільки це місто справило на мене дуже сильне враження."
- Які місцеві страви та напої ви любите куштувати під час подорожей?,У подорожах завжди стараюсь спробувати національну кухню,У подорожах завжди стараюсь спробувати національну кухню,Національні,У подорожах завжди стараюсь спробувати національну кухню,у Польщі та Чехії коштував різні кебаби,у Польщі та Чехії коштував різні кебаби,в кожній країні своє є улюблее,в кожній країні своє є улюблене